Story,Labels,Story Type,Current State,Created at,Accepted At,Description,Estimate
Twitter Mentions do not pull the original tweet id for retweets,"redmine,redmineID-399,redmine-Viralheat Product - Scrum",bug,accepted,02/08/2012 03:51 pm,02/26/2012 06:29 pm,This might also be relevant for replies.,0
Cannot retweet a retweet in Twitter Timeline. This should be possible,"redmine,redmineID-398,redmine-Viralheat Product - Scrum",bug,unscheduled,02/08/2012 03:39 pm,,This should be possible by resolving the original tweet id and then retweeting that.,-1
Use API to pull sentiment,"redmine,redmineID-397,redmine-Viralheat Product - Scrum",feature,unscheduled,02/08/2012 03:38 pm,,"",-1
Add character count on user profiles,"redmine,redmineID-396,redmine-Viralheat Product - Scrum",feature,accepted,02/08/2012 02:44 pm,03/07/2012 01:08 pm,"",0
Billing Enhancements,"redmine,redmineID-392,redmine-Viralheat Product - Scrum",chore,unscheduled,02/07/2012 11:12 am,,"",-1
Biling System Upgrades,"redmine,redmineID-391,redmine-Viralheat Product - Scrum",chore,unscheduled,02/07/2012 11:12 am,,"",-1
Actual Production Deployment,"redmine,redmineID-380,redmine-Viralheat Product - Scrum",feature,unscheduled,02/07/2012 10:33 am,,"",-1
Add Twitter/Facebook engagement features to Mentions,"redmine,redmineID-376,redmine-Viralheat Product - Scrum",feature,accepted,02/07/2012 10:21 am,02/27/2012 11:41 am,"",0
Invoice and Billing Email Reminders (HTML Emails),"redmine,redmineID-375,redmine-Viralheat Product - Scrum",feature,unscheduled,02/07/2012 10:18 am,,"",-1
Epic: Billing System Upgrades - Part 1,"redmine,redmineID-371,redmine-Viralheat Product - Scrum",feature,accepted,02/06/2012 05:14 pm,02/07/2012 11:13 am,"",0
Copy for onboarding process,"redmine,redmineID-365,redmine-Viralheat Product - Scrum",chore,unscheduled,02/06/2012 05:05 pm,,"",-1
Development of Onboarding PRocess,"redmine,redmineID-364,redmine-Viralheat Product - Scrum",chore,unscheduled,02/06/2012 05:05 pm,,"",-1
Development of Onboarding Process,"redmine,redmineID-363,redmine-Viralheat Product - Scrum",chore,unscheduled,02/06/2012 05:03 pm,,"",-1
Allow account creation for Twitter,"redmine,redmineID-362,redmine-Viralheat Product - Scrum",feature,unscheduled,02/06/2012 04:51 pm,,"",-1
Epic: Deployment Automation (Continuous Integration) - Part 2,"redmine,redmineID-360,redmine-Viralheat Product - Scrum",feature,started,02/06/2012 04:44 pm,,"",0
Epic: Test harnesses for server - Part 2,"redmine,redmineID-359,redmine-Viralheat Product - Scrum",feature,unscheduled,02/06/2012 04:41 pm,,"",-1
"Add ""join us"" Facebook & Twitter buttons on viralheat.com","redmine,redmineID-356,redmine-Viralheat Product - Scrum",feature,unscheduled,02/06/2012 11:02 am,,"",-1
Add tick boxes next to each profile (for 2.0/1.4),"redmine,redmineID-355,redmine-Viralheat Product - Scrum",feature,unscheduled,02/02/2012 04:26 pm,,"",-1
Tabbed interface for VH Widget,"redmine,redmineID-354,redmine-Viralheat Product - Scrum",feature,unscheduled,02/02/2012 04:18 pm,,"",-1
"Continue: Fix the backend issue with STM02, currently we have a cron job that assigns the Stats node to profiles.","redmine,redmineID-351,redmine-Viralheat Product - Scrum",chore,unscheduled,01/30/2012 05:25 pm,,"",-1
Onboarding step: Pop-up on the dashboard that notifies existing customers about the new features.,"redmine,redmineID-350,redmine-Viralheat Product - Scrum",feature,accepted,01/25/2012 03:28 pm,03/09/2012 02:46 pm,"",0
Add some text and link to daily digest emails.,"redmine,redmineID-349,redmine-Viralheat Product - Scrum",feature,unscheduled,01/25/2012 03:25 pm,,"",-1
Epic: Website Copy Editing and Review - Part 1,"redmine,redmineID-348,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 12:32 pm,02/06/2012 04:38 pm,"",0
Facebook Stats & Twitter Timeline (deployment & testing),"redmine,redmineID-345,redmine-Viralheat Product - Scrum",chore,unscheduled,01/23/2012 12:01 pm,,"",-1
Facebook Stats & Twitter Timeline (deployment & testing),"redmine,redmineID-344,redmine-Viralheat Product - Scrum",chore,unscheduled,01/23/2012 12:01 pm,,"",-1
Epic: Deployment Automation (Continuous Integration) - Part 1,"redmine,redmineID-343,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 11:41 am,02/06/2012 04:44 pm,"",0
Epic: Test harnesses for server - Part 1,"redmine,redmineID-342,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 11:35 am,02/06/2012 05:21 pm,"",0
Epic: About Static Page (copy and images) - Part 4,"redmine,redmineID-340,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 10:31 am,02/06/2012 05:11 pm,copy and images,0
Epic: Create onboarding process for 1.4 - Part 2,"redmine,redmineID-337,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 10:24 am,02/06/2012 05:09 pm,"The new onboarding process should cover:

0. Entering your info
1. Connecting you accounts.
2. Adding profiles, if you are a paid plan.
3. Watching videos.

How to build a profile page for version 1.4",0
Epic: Facebook Stats & Twitter Timeline (deployment & testing) - Part 2,"redmine,redmineID-336,redmine-Viralheat Product - Scrum",feature,accepted,01/23/2012 10:22 am,02/06/2012 04:48 pm,"",0
Homepage Images and Revisions,"redmine,redmineID-335,redmine-Viralheat Product - Scrum",chore,unscheduled,01/23/2012 10:09 am,,"",-1
